keys,pt_BR
461A36_675694,"Enquanto abre lentamente a porta da frente, você deixa suas chaves caírem acidentalmente. Nesse breve momento, Felix escapa para fora"
461A36_E2F50C,"Felix, por quê?! Você nunca fez isso antes. Ele correu para a floresta... É perigoso. Preciso encontrá-lo antes que anoiteça"
461A36_31860B,"Você entra na floresta, mas não há sinais claros de para onde Felix foi. Nenhum barulho estranho, nenhum miado... nada"
461A36_A6CBC0,"Você continua seguindo uma trilha estreita até encontrar uma criatura brilhante"
461A36_BA2B75,"Corra! Ela está vindo!"
461A36_89DDEC,"O ser brilhante parece exausto e aterrorizado"
461A36_C367DF,"Ignorar e continuar procurando Felix"
461A36_42D27E,"Perguntar o que está acontecendo"
461A36_992C44,"Você observa cuidadosamente a criatura brilhante e a área ao redor, procurando qualquer sinal de onde Felix possa ter ido. A criatura de repente fala"
461A36_584902,"O que você está fazendo? Precisamos encontrar abrigo antes que as criaturas das trevas cheguem"
461A36_B265A7,"Isso deve ser algum tipo de pegadinha... Então, onde está a câmera escondida?"
461A36_AD63F5,"Muito engraçado... ha... ha..."
461A36_99C233,"Correr de quê? O que você é?"
461A36_16B9E6,"[shake rate=20 level=10]Seu coração dispara enquanto todo o seu corpo começa a tremer[/shake]"
461A36_41E160,"A besta avança contra o ser brilhante, tentando agarrá-lo. A criatura escapa por pouco e voa diretamente em sua direção"
461A36_81F525,"Corra!!!"
461A36_115F42,"Vocês dois correm de volta para a estrada. Você entra correndo em casa, em pânico, apenas para perceber que o ser brilhante o seguiu"
461A36_099151,"Isso deve ser algum tipo de pesadelo... Ou talvez eu esteja enlouquecendo"
461A36_4575A2,"Obrigado por me dar abrigo, Sonhador"
461A36_E4174F,"..."
461A36_40B9EE,"Pela Deusa... O QUE FOI AQUILO?!"
461A36_749EEF,"Meu nome é Ello"
461A36_C5840B,"Sou um guardião dos sonhos. Minha função é proteger os sonhos de toda alma viva"
461A36_7EEF01,"Eu estava cuidando dos sonhos das pessoas, mas, pouco a pouco... havia cada vez menos sonhos para proteger"
461A36_868355,"Então decidi vir para cá, esperando poder ajudar a restaurar os sonhos das pessoas. Mas, infelizmente, os pesadelos tiveram a mesma ideia"
461A36_618F52,"As bestas nascidas dos pesadelos assumiram forma física"
461A36_DC7E30,"Espera... Você quer dizer como as histórias que eu costumava ouvir quando era criança?"
461A36_E0DF49,"Acho que sim. Cada cultura tem sua própria maneira de descrever os seres que observam os sonhos"
461A36_EB7D96,"A besta que estava me perseguindo queria meus poderes. Ela não vai parar até devorar todos os sonhos que restam"
461A36_9B61BC,"Acho que estamos seguros aqui. Essas criaturas prosperam na escuridão. É mais fácil para elas distorcerem o que as pessoas veem, enchendo os vivos de medo antes de atormentá-los em seus pesadelos"
461A36_8AB45E,"Estou preocupado com os animais que ainda estão presos na floresta..."
461A36_646633,"[shake rate=10 level=5]E o meu gato?! Felix está em perigo? O que eu devo fazer?![/shake]"
461A36_FA19BE,"Não acho que devêssemos voltar para a floresta. É perigoso demais"
461A36_6645BF,"Posso tentar proteger os sonhos dele. Se eu conseguir, ele estará seguro por enquanto"
461A36_5EC3CA,"Eu não sei... Qual é a pior coisa que aquela besta poderia fazer?"
461A36_8AE9C4,"..."
461A36_BD7667,"Ela poderia corromper o que resta deste mundo, levando todos à loucura por meio de pesadelos intermináveis"
461A36_0069A6,"Preciso descansar. Quase ser devorado não é exatamente fácil de se recuperar"
461A36_268F9D,"Ello se acomoda para descansar na sala de estar"
461A36_011BAC,"Você volta para o seu quarto, esperando que Felix ainda esteja vivo"
461A36_723C6C,"Você recebeu uma mensagem"
461A36_E4DDB9,"Responder"
461A36_7EAFBB,"Ignorar a mensagem"
461A36_AA6EA1,"Seu celular acende"
461A36_7A8673,"Descobri mais coisas sobre o folclore"
461A36_BBAE20,"Legal, me conte mais amanhã"
461A36_E043DC,"Seu celular acende"
461A36_D3E6C1,"Desculpa, eu estava trabalhando antes"
461A36_E6985C,"Não se preocupe, Mary"
461A36_40FA22,"Tenho novidades"
461A36_56CF69,"Não é nenhuma mensagem importante"
461A36_3B8031,"Você continua rolando a tela do celular até finalmente adormecer"
461A36_CF5006,"Você acorda em um lugar que nunca viu antes. Parece... um cassino"
461A36_6A5168,"Onde estou? Como vim parar aqui?"
461A36_7AEB9C,"Bem-vindo... querido Sonhador"
461A36_0C6B26,"Aproxime-se. Faça sua aposta... Diga-me, o que você deseja alcançar?"
461A36_ADF2B6,"Apostar seu HP"
461A36_726092,"Recusar-se a apostar"
461A36_7537EA,"Apostar realmente não é a minha praia. Não tenho sorte... e, além disso, qual é o prêmio?"
461A36_E2E215,"Que tal um gatinho fofo... aquele que fugiu mais cedo?"
461A36_CEA9D2,"...E se eu perder?"
461A36_845AB8,"Você descobrirá o que está esperando por você..."
461A36_C531D8,"Eu realmente não estou a fim de jogar"
461A36_52EFA0,"Então aceite uma pequena cortesia"
461A36_346F91,"Você sofreu dano"
461A36_24EF74,"As regras são simples. Diante de nós há um baralho de trinta e duas cartas. Cada carta traz o símbolo de uma peça de xadrez. Cada peça tem seu próprio valor"
461A36_79377A,"Peões valem 10 pontos. Cavalos e Bispos valem 30. Torres valem 50. Damas valem 70"
461A36_430933,"Reis não causam dano. Em vez disso, restauram até 50 de vida"
461A36_307ADF,"Nós dois começamos com a mesma quantidade de vida"
461A36_38B2D3,"Três rodadas. Se sua vida chegar a zero... seus sonhos se tornarão meus"
461A36_D03849,"Se a minha chegar a zero... devolverei seu precioso gato. Se ambos sobrevivermos, a vitória pertence a quem tiver mais vida restante"
461A36_41088E,"Devemos começar?"
461A36_678E53,"Rodada {{GameData.card_round}}"
461A36_00DDBC,"Você comprou o {{GameData.get_card_name(GameData.player_card)}}"
461A36_903A73,"A Besta comprou o {{GameData.get_card_name(GameData.beast_card)}}"
461A36_43B3AC,"{{GameData.health}}"
461A36_0C5893,"{{GameData.beast_hp}}"
461A36_94FAB3,"A Besta começa a sorrir"
461A36_C3FFDF,"Você observa enquanto a Besta se transforma, ficando maior e mais distorcida do que antes"
461A36_56FB73,"[shake race=20 level=10]Um suor frio escorre pelas suas costas enquanto você percebe que não há escapatória[/shake]"
461A36_928161,"O ambiente começa a se distorcer, e você começa a sentir os efeitos da corrupção do pesadelo... Você pensa em sua família e amigos, mas ninguém pode salvá-lo"
461A36_4FE185,"Uma luz aparece... é Ello"
461A36_F27734,"Você se sente fraco e exausto, e seus olhos se fecham lentamente"
461A36_73E81C,"Você acorda lentamente, sentindo-se tonto e exausto"
461A36_A31D46,"Você abre os olhos e vê Ello encarando você"
461A36_7B9553,"Ainda bem que você está acordado... Achei que você nunca fosse acordar"
461A36_874A18,"Ello restaura seu HP"
461A36_9CF9DA,"Você se sente um pouco melhor"
461A36_DB75CE,"Hã... O que foi aquilo?"
461A36_073DF4,"Faz tanto tempo desde a última vez que sonhei, e então aquele monstro aparece"
461A36_E84BD5,"Foi intencional. Eles queriam deixá-lo com pouca lucidez para que fosse mais fácil manipulá-lo"
461A36_F350BC,"Pela Deusa... Como posso me livrar disso?"
461A36_620E64,"...Bem, não acho sensato parar de sonhar. O ideal é encontrar a si mesmo dentro do sonho, evitando momentos de vulnerabilidade"
461A36_747BC7,"Encontrar a mim mesmo? Como em um daqueles sermões da igreja?"
461A36_0F0046,"Algo assim, mas ainda não é hora disso..."
461A36_9C1BB6,"E o meu Felix? Você acha que ele está bem?"
461A36_A170AD,"Pelo que consegui observar, ele está tão bem quanto seria esperado"
461A36_C5B539,"Mas como você pode ter tanta certeza? Tudo isso é tão bizarro"
461A36_30CD6B,"É segredo"
461A36_976637,"Preciso ir estudar... Mas estou tão cansado que acho que vou faltar hoje"
461A36_062B38,"Ir para a universidade"
461A36_F3F16F,"Finalmente, um pouco de descanso"
461A36_15A293,"Faltar à universidade"
461A36_AE7775,"Você prepara seu café da manhã e sente falta de ter seu gato seguindo você pela casa"
461A36_8309C8,"Você pega uma roupa quente coberta de pelos e a veste mesmo assim"
461A36_349959,"A caminho da universidade, você pensa no que terá que fazer durante o dia"
461A36_B244F1,"Você chega à universidade e encontra Gio"
461A36_5B1427,"Você está bem? Você parece um pouco..."
461A36_584877,"Contar a ele o que aconteceu"
461A36_FB5E89,"Não contar a ele"
461A36_B03394,"Ei, {{GameData.player_name}}. Como você está?"
461A36_2D3E40,"Você se lembra da minha última pesquisa sobre folclore local? Encontrei mais informações sobre as histórias que costumávamos ouvir quando éramos crianças"
461A36_D729F7,"Você começa a se lembrar das histórias sobre sonhos, nas quais um ser Onírico protege os sonhos das crianças e o próprio mundo, mantendo o equilíbrio entre eles"
461A36_15EE3F,"A lenda diz que, quando as pessoas param de sonhar, os Oníricos perdem sua força, deixando a humanidade vulnerável aos ataques de seus maiores pesadelos"
461A36_2DA8B9,"Bem, de acordo com o livro que estou lendo, essas histórias são antigas e estão ligadas a rituais e templos ancestrais"
461A36_50A223,"Este livro sugere que, se essas práticas realmente funcionassem, as pessoas poderiam alcançar um estado em que seriam capazes de controlar seus sonhos. Os sonhos poderiam até se tornar uma forma de compreender o presente ou vislumbrar o futuro"
461A36_D7699D,"Vou usar este livro no meu projeto de pesquisa"
461A36_76AD4D,"falar sobre seu gato"
461A36_F47CC2,"continuar falando sobre o mito dos sonhos"
461A36_609140,"Estou mais ou menos..."
461A36_DAE2C8,"Uau, isso é loucura. O que você está achando da sua pesquisa?"
461A36_86E892,"Na verdade, eu adoro esse assunto. Quando era mais jovem, não era tão empolgante, mas agora posso comparar diferentes fontes"
461A36_2B80EF,"Existem outras mitologias que pretendo estudar a fundo, mas, por enquanto, vou me concentrar nesta"
461A36_9C32DE,"Muitas coisas são resumidas quando vamos a um culto e, embora isso nos dê uma base, não acho que seja suficiente para mim. Quero saber mais"
461A36_5D9364,"Você ouviu alguma novidade?"
461A36_A49009,"Você não vai acreditar nisso... Felix fugiu e, quando fui procurá-lo, acabei encontrando um guardião dos sonhos"
461A36_A25C08,"Isso é loucura"
461A36_BF76ED,"O quê? Espera, isso foi muita coisa para absorver de uma vez"
461A36_14C8EA,"Eu não esperava que a profecia já tivesse começado... Era apenas uma especulação"
461A36_05C1D4,"Isso significa que não estamos sozinhos há algum tempo"
461A36_886A44,"Gio fica pensativo, e sua expressão se torna um pouco séria"
461A36_5F223E,"Fazer perguntas"
461A36_E36402,"O que tudo isso significa?"
461A36_1C348C,"Então... isso significa que as pessoas, em geral, não sonham mais, mas, apesar disso, ainda são suscetíveis à influência dos pesadelos"
461A36_3D1A18,"Por causa disso, os guardiões perderam grande parte de sua força, que vinha da vitalidade dos sonhos humanos"
461A36_B7B1EF,"Tudo isso é bastante surpreendente... É um processo de metamorfose"
461A36_496ABA,"Hã??"
461A36_0EF3B9,"Como posso explicar... É uma mudança esperada em um futuro possível. Não é predeterminada, mas possui certas tendências"
461A36_EFD928,"A profecia indica que o futuro tem dois caminhos principais. Em um deles, é possível restaurar os sonhos das pessoas por meio da intervenção dos guardiões, enquanto o outro acontece se a intervenção dos guardiões falhar"
461A36_B76854,"A intervenção dos guardiões precisa ser indireta e cautelosa, porque eles precisam guiar as pessoas para que compreendam quem são, descobrindo e redescobrindo seus sonhos esquecidos"
461A36_BEA30B,"A partir daí, elas começarão a sonhar com mais frequência e de uma maneira mais saudável, porque compreenderão que aquilo que está escondido dentro delas só pode ser controlado com segurança ao entenderem quem são. Isso significa que os ataques dos pesadelos não terão mais efeito"
461A36_533B2F,"...E se eles falharem?"
461A36_13D45F,"É muito provável que as pessoas comecem a ter pesadelos tão reais e intensos que começarão a confundir a realidade com seus pesadelos"
461A36_9F8CCF,"Elas se tornarão agressivas e irreconhecíveis, porque não verão nada além de distorções"
461A36_058EAB,"Podemos continuar isso depois. Deveríamos ir para a aula"
461A36_8D8A90,"Você vai para a sua sala e permanece pensativo sobre as novas informações que aprendeu. De vez em quando, você presta atenção durante as aulas da universidade"
461A36_1DBE86,"Você se pergunta se encontrará Gio depois da aula"
461A36_43BB11,"Depois de horas estudando, você se encontra pronto para ir embora"
461A36_CA9447,"Acabei de ter uma noite terrível... Meu gato fugiu, e ainda não o encontrei"
461A36_73BEEA,"Oh... Isso é triste. Tenho certeza de que você vai encontrá-lo em breve"
461A36_3F22C0,"Então, como isso aconteceu?"
461A36_AB6C53,"Para falar a verdade, eu nem sei... Eu estava abrindo a porta para entrar em casa quando minha chave caiu no chão e, durante esse tempo, Felix, que estava perto da porta, correu para fora"
461A36_D012EB,"Espero que ele esteja bem"
461A36_B1D203,"Eu também"
461A36_2CE406,"Vamos mudar de assunto por um tempo... Dar uma chance para a minha mente relaxar"
461A36_6CA399,"Você disse que tinha descoberto algo novo. O que era?"
461A36_C41F23,"Dá para perceber que você está interessado na minha pesquisa"
461A36_C91752,"Bem... Existem várias curiosidades e mistérios envolvendo esses seres místicos"
461A36_A654CD,"Pesadelos são frequentemente associados a animais grandes, criando uma sensação de impotência e terror e neutralizando seus alvos sem muito esforço"
461A36_8C952C,"Enquanto isso, seres dos sonhos são frequentemente representados como pequenas criaturas brilhantes e voadoras"
461A36_224677,"Mas é engraçado como os humanos às vezes são representados como ambos, sugerindo que, no fundo, somos o mal que tememos e o bem que desejamos"
461A36_31B41C,"As histórias sempre tentam transmitir a ideia de que você deve priorizar quem você é em vez da pessoa que os outros esperam que você seja"
461A36_C148AA,"O completo oposto dos pesadelos, que tentam a todo custo fazer você perder a si mesmo"
461A36_8501DF,"Os sonhos revelam muito sobre quem você é, incluindo o que pensa e sente"
461A36_77219D,"Hmmm... Então o que significaria sonhar com guardiões e bestas?"
461A36_A7745A,"Não sou especialista na área... mas eu presumiria que isso indica algum tipo de conflito. Não tenho certeza, porém. Depende muito de como era o sonho"
461A36_0A26E3,"Ah... Entendo. Isso é realmente interessante, mas acho que está na hora de a aula começar"
461A36_073207,"Verdade. Até mais"
461A36_DC6EA3,"Você se despede e vai para sua respectiva sala. Você se pergunta se deveria ter contado a ele, mas tem medo do que isso poderia desencadear"
461A36_879393,"Você tenta se lembrar dos mandamentos da igreja, esperando encontrar algo que possa ajudar, mas não consegue se lembrar de muita coisa"
461A36_DBC674,"Você se pergunta se deveria falar com Ello para descobrir como lidar com isso"
461A36_331778,"Você tem dificuldade para se concentrar no material da aula porque não quer reprovar na matéria, então faz anotações e desenha para ajudar no seu processo de pensamento"
461A36_5DBA30,"Depois da aula, você vai direto para o trabalho. No caminho, encontra Mary"
461A36_16EDEB,"Mary pergunta como você está, e você explica brevemente a situação. Ela simpatiza com você e diz que vai lhe dar uma coleira de gato com rastreador para poupar você do trabalho"
461A36_AA15EB,"Mary conta as últimas novidades sobre seu trabalho e como tem se saído bem na universidade neste semestre, embora ainda não tenha muito tempo para se divertir"
461A36_2FC36E,"Você chega ao trabalho e cumprimenta seus colegas"
461A36_42077E,"Você não vai acreditar na novidade, {{GameData.player_name}}. Eles estão reformando nosso departamento e estão pensando em fazer uma pequena festa de despedida para Henry"
461A36_3E1E95,"Henry é um dos funcionários mais antigos da empresa"
461A36_D02393,"Você continua conversando com Luiza, e a conversa se torna uma distração agradável o suficiente para fazer você rir um pouco"
461A36_0C3CBB,"Durante sua pausa, você come sua marmita de lasanha e aproveita o momento. Você conversa com alguns de seus outros colegas, e o tempo passa rapidamente"
461A36_F3784F,"Você volta ao trabalho e termina seus relatórios do dia com o coração mais leve"
461A36_3DC3E0,"No fim do seu turno, você volta para casa e respira fundo"
461A36_97EF17,"Ello está lá"
461A36_47576F,"Você não está particularmente animado para interagir com Ello, mas precisa fazer isso"
461A36_C0CBFE,"Alguma novidade?"
461A36_A2F7B1,"Acho que sim. Estou progredindo em relação aos sonhos das pessoas. Não é um marco, mas é um começo"
461A36_8F903B,"Não consigo encontrar seu gato, mas ele parece estar fazendo amigos na floresta"
461A36_E74FF1,"Na verdade, encontrei alguns indivíduos que já estavam em um estágio grave de perturbação. Ajudar animais nessa condição já não é tão simples"
461A36_F79CD6,"Mas ainda há esperança para eles, certo?"
461A36_A1AB5B,"Resumindo, sim, mas é um processo lento, e não há garantia de que o indivíduo retornará a um estado saudável"
461A36_DBAAB7,"Se a condição deles piorar, podem desenvolver efeitos duradouros"
461A36_AF3486,"Meu Deus... Isso é preocupante"
461A36_411636,"Perguntar sobre o sonho"
461A36_3B727E,"Fazer o jantar e estudar"
461A36_522527,"O que era aquele monstro? De onde ele veio?"
461A36_055C44,"Era Cerberus, um lobo focado em drenar a energia dos sonhadores e deixá-los exaustos. Isso o torna mais forte"
461A36_41836E,"E por que ele me escolheu como alvo?"
461A36_D8F5E5,"Bem... Para testar você e a mim"
461A36_72516E,"Alguém que não sonha é o começo do que eles precisam realizar. Como você sabe que eu existo, eles se concentram em você para que eu passe mais tempo protegendo você em vez de outras pessoas, permitindo que eles eventualmente assumam o controle da sua mente se eu não o proteger bem o suficiente"
461A36_42AC95,"Você começa a preparar o jantar com o que quer que tenha na geladeira para não precisar pensar demais sobre tudo... Não é particularmente eficaz, mas parece ser a melhor opção para você"
461A36_D0883B,"Depois de terminar o jantar e preparar seu almoço para o dia seguinte, você planeja estudar"
461A36_FA2CEC,"Não vai demorar muito até uma prova daquela matéria insuportável"
461A36_528ADF,"Você se senta à sua mesa no quarto e começa a pesquisar e fazer testes práticos... Você se cansa rapidamente"
461A36_BAF94D,"Mas você estuda um pouco mais e acaba adormecendo"
461A36_E9343D,"...Você está conversando com sua irmã em uma memória de infância"
461A36_9995D7,"Pequena, você já descobriu qual é o seu maior sonho?"
461A36_60B5B5,"Meu maior sonho?"
461A36_781831,"Acho que sim, irmã"
461A36_2071FB,"Eu realmente não me lembro de quais eram meus sonhos de infância..."
461A36_5355DA,"Não se preocupe, pequena. Um dia você vai descobrir"
461A36_880364,"Nada mais vem à sua mente?"
461A36_112C1E,"Eu não sei... Acho que não acredito muito nessas coisas"
461A36_867776,"...Um dia você vai entender o quanto os sonhos realmente são importantes"
461A36_45AD9C,"Quero criar um mundo onde animais e pessoas possam viver vidas vibrantes e emocionantes... Então, talvez uma artista?"
461A36_BC00C2,"Isso é incrível. Nunca desista do seu sonho, não importa o que aconteça"
461A36_FC7D80,"Irmã, como sei se meu sonho é um bom sonho?"
461A36_D5F3FD,"Quando ele trouxer paz e realização, você saberá que está no caminho certo"
461A36_E5695A,"E se eu quiser ser tantas coisas? Posso me tornar qualquer coisa que eu queira?"
461A36_417875,"Você pode ter paixão por muitas coisas, mas tente se concentrar em uma de cada vez, caso contrário, pode acabar perdido"
461A36_52F864,"A vida é feita de escolhas sobre o que realmente importa. Às vezes precisamos manter certas coisas e deixar outras irem"
461A36_7685F3,"Então, irmã... que sonho você escolheu?"
461A36_2CFF94,"Construir uma família feliz. Crescer não foi fácil para nós, então nada importava mais para mim do que criar um lugar que pudéssemos realmente chamar de lar"
461A36_C1B1AC,"E agora esse sonho está se tornando realidade. Tenho todos vocês, minha família, aqui comigo"
461A36_6D78D6,"E o que você faz quando seu sonho se torna realidade?"
461A36_130BC1,"Agora? Agora eu posso ajudar o resto da minha família a realizar os sonhos deles"
461A36_EE90A0,"Hmm... Que sonho estranho... Não foi horrível"
461A36_AF957F,"Eu me pergunto onde Ello está"
461A36_18BC9F,"Está silencioso demais aqui"
461A36_FB62E0,"Você chama por Ello, mas não recebe resposta"
461A36_F6B69B,"Mas então Felix aparece pela pequena passagem na porta e mia"
461A36_2049B0,"Felix! Como você chegou aqui?"
461A36_3D36AB,"Você se levanta rapidamente e vai abraçar seu gato"
461A36_574B0F,"Mas, quando você toca nele, ele evapora"
461A36_33CB0A,"Você congela em choque, permanecendo imóvel enquanto olha ao redor em silêncio"
461A36_0A6494,"Você se levanta para abrir a porta e procurar Ello, mas a porta também evapora"
461A36_74D3C7,"Nada é real"
461A36_552C33,"Então o celular no seu bolso toca"
461A36_A5900F,"Você atende desconfiado"
461A36_27585C,"Alô?"
461A36_A80EF6,"Quem é?"
461A36_6814AA,"Pode me chamar de Chimera"
461A36_595042,"O que você quer? O que está acontecendo?"
461A36_146F40,"Nada demais... Você realmente parecia feliz em ver Felix. Que pena"
