keys,en
461A36_307ADF,We each begin with the same amount of health
461A36_38B2D3,Three rounds. If your health reaches zero... your dreams become mine
461A36_D03849,"If mine reaches zero... I'll return your precious cat. Should we both survive, victory belongs to whoever has the most health remaining"
461A36_41088E,Shall we begin?
461A36_678E53,Round {{GameData.card_round}}
461A36_00DDBC,You drew the {{GameData.get_card_name(GameData.player_card)}}.
461A36_903A73,The Beast drew the {{GameData.get_card_name(GameData.beast_card)}}.
461A36_43B3AC,{{GameData.health}}
461A36_0C5893,{{GameData.beast_hp}}
461A36_94FAB3,The Beast begins to smile
461A36_C3FFDF,"You watch as the Beast transforms, growing larger and more distorted than before"
461A36_56FB73,[shake race=20 level=10] A cold sweat runs down your back as you realize there's no escape [/shake]
461A36_928161,"The surroundings begin to warp, and you start to feel the effects of the nightmare's corruption... You think of your family and friends, but no one can save you"
461A36_4FE185,A light appears... it's Ello
461A36_F27734,"You feel weak and exhausted, and your eyes slowly close"
461A36_73E81C,"You slowly wake up, feeling dizzy and exhausted"
461A36_A31D46,You open your eyes and see Ello staring at you
461A36_7B9553,Thank goodness you're awake... I thought you were never going to wake up
461A36_874A18,Ello restores your HP
461A36_9CF9DA,You feel a little better
461A36_DB75CE,Huh... What was that?
461A36_073DF4,"It's been so long since I last dreamed, and then that monster shows up"
461A36_E84BD5,It was intentional. They wanted to leave you with little lucidity so you'd be easier to manipulate
461A36_F350BC,By the Goddess... How can I get rid of this?
461A36_620E64,"...Well, I don't think it's wise to stop dreaming. The ideal is to find yourself within the dream, avoiding moments of vulnerability"
461A36_747BC7,Find myself? Like one of those church sermons?
461A36_0F0046,"Something like that, but it's not time for that yet..."
461A36_9C1BB6,What about my Felix? Do you think he's okay?
461A36_A170AD,"From what I've been able to monitor, he's doing as well as can be expected"
461A36_C5B539,But how can you be so sure? This is all so bizarre
461A36_30CD6B,It's a secret
461A36_976637,I need to go study... But I'm so worn out I think I'll skip today
461A36_062B38,Go to the university
461A36_F3F16F,"Finally, some rest"
461A36_15A293,Skip university
461A36_AE7775,You prepare your breakfast and miss having your cat following you around the house
461A36_8309C8,You pick up a warm outfit covered in fur and put it on anyway
461A36_349959,"On your way to university, you think about what you will have to do during the day"
461A36_B244F1,You arrive at the university and find Gio
461A36_5B1427,Are you okay? You look a little...
461A36_584877,Tell him what happened
461A36_FB5E89,Don't tell him
461A36_B03394,"Hey, {{GameData.player_name}}. How are you?"
461A36_2D3E40,Do you remember my last study about local folklore? I found more information about the stories we used to hear when we were children
461A36_D729F7,"You begin to remember the tales about dreams, where an Oneiric being protects the dreams of children and the world itself, keeping balance between them"
461A36_15EE3F,"The legend says that when people stop dreaming, the Oneirics lose their strength, leaving humanity vulnerable to the attacks of their greatest nightmares"
461A36_2DA8B9,"Well, according to the book I'm reading, these stories are ancient and connected to rituals and ancestral temples"
461A36_50A223,"This book suggests that, if those practices truly worked, people could reach a state where they were able to control their dreams. Dreams could even become a way to understand the present or glimpse the future"
461A36_D7699D,I'm going to use this book for my research project.
461A36_76AD4D,talk about your cat
461A36_F47CC2,continue talking about the dream myth
461A36_609140,I'm more or less...
461A36_DAE2C8,"Wow, that's crazy, what are you thinking about your research?"
461A36_86E892,"I actually love this subject, when I was younger it wasn't as exciting, but now I can compare different sources"
461A36_2B80EF,"There are other mythologies that I intend to study in depth, but for now I'll focus on this one"
461A36_9C32DE,"A lot of things get summarized when we go to a service, and even though they give you a foundation, I don't think it's enough for me, I want to know more"
461A36_5D9364,Have you heard any news?
461A36_A49009,"You won't believe this... Felix ran away, and when I went looking for him, I ended up finding a dream guardian"
461A36_A25C08,This is crazy
461A36_BF76ED,"What? Wait, that was a lot to take in all at once"
461A36_14C8EA,I didn't expect the prophecy to have already begun... It was only speculation
461A36_05C1D4,This means we haven't been alone for some time
461A36_886A44,"Gio becomes thoughtful, his expression growing somewhat serious"
461A36_5F223E,Ask questions
461A36_E36402,What does all of this mean?
461A36_1C348C,"So... this means that people in general no longer dream, but despite that, they are still susceptible to the influence of nightmares"
461A36_3D1A18,"Because of this, the guardians have lost a large part of their strength, which came from the vitality of human dreams"
461A36_B7B1EF,All of this is quite surprising... It's a process of metamorphosis
461A36_496ABA,Huh??
461A36_0EF3B9,"How can I put this... It's a change expected in a possible future. It's not predetermined, but it does have certain tendencies"
461A36_EFD928,"The prophecy indicates that the future has two main paths. In one, it is possible to restore people's dreams through the intervention of the guardians, while the other happens if the guardians' intervention fails"
461A36_B76854,"The guardians' intervention must be indirect and cautious, because they need to guide people toward understanding who they are, discovering and rediscovering their forgotten dreams"
461A36_BEA30B,"From there, they will begin to dream more often and in a healthier way, because they will understand that what lies hidden within them can only be safely controlled by understanding who they are, meaning the nightmares' attacks will no longer have any effect"
461A36_533B2F,...And what if they fail?
461A36_13D45F,It is very likely that people will begin to experience nightmares so real and intense that they will start confusing reality with their nightmares
461A36_9F8CCF,"They will become aggressive and unrecognizable, because they will see nothing but distortions"
461A36_058EAB,"We can continue this later, we should get to class"
461A36_8D8A90,You go to your classroom and remain thoughtful about the new information you have learned. You pay attention during the university classes from time to time
461A36_1DBE86,You wonder if you will meet Gio after class
461A36_43BB11,"After hours of studying, you find yourself ready to leave"
461A36_CA9447,"I just had a terrible night... My cat ran away, and I still haven't found him"
461A36_73BEEA,"Oh... That's sad. You'll find him soon, I'm sure of it"
461A36_3F22C0,"So, how did this happen?"
461A36_AB6C53,"To tell you the truth, I don't even know... I was opening the door to get inside my house when my key fell to the floor, and during that time Felix, who was near the door, ran outside"
461A36_D012EB,I hope he's okay
461A36_B1D203,Me too
461A36_2CE406,Let's change the subject for a bit... Give my mind a chance to relax
461A36_6CA399,You said you had discovered something new. What was it?
461A36_C41F23,I can tell you're interested in my research
461A36_C91752,Well... There are several curiosities and mysteries surrounding these mystical beings
461A36_A654CD,"Nightmares are frequently associated with large animals, creating a sense of helplessness and terror, neutralizing their targets without much effort"
461A36_8C952C,"Meanwhile, dream beings are often represented as small, bright, flying creatures"
461A36_224677,"But it's funny how humans are sometimes represented as both, to suggest that deep down, we are the evil we fear and the good we desire"
461A36_31B41C,Stories always try to convey the idea that you should prioritize who you are over the person others expect you to be
461A36_C148AA,"The complete opposite of nightmares, which try at all costs to make you lose yourself"
461A36_8501DF,"Dreams reveal a great deal about who you are, including what you think and feel"
461A36_77219D,Hmmm... So what would it mean to dream about guardians and beasts?
461A36_A7745A,"I'm not an expert in the field... but I would assume it indicates some kind of conflict. I'm not certain, though. It depends a lot on what the dream was like"
461A36_0A26E3,"Ah... I see. That's really interesting, but I think it's time for class to start"
461A36_073207,True. See you later
461A36_DC6EA3,"You say goodbye and go to your respective classrooms. You wonder if you should have told him, but you're afraid of what it might trigger"
461A36_879393,"You try to remember the church's commandments, hoping to find something that might help you, but you can't remember much"
461A36_DBC674,You wonder if you should talk to Ello to figure out how to deal with this
461A36_331778,"You struggle to focus on the class material because you don't want to fail the subject, so you take notes and draw to help with your thought process"
461A36_5DBA30,"After class, you head straight to work. On the way, you run into Mary"
461A36_16EDEB,"Mary asks how you are doing, and you briefly explain the situation. She sympathizes with you and says she'll give you a cat collar with a tracker to save you the trouble"
461A36_AA15EB,"Mary tells you about the latest news from her job and how well she's been doing at university this semester, although she still doesn't have much time to have fun"
461A36_2FC36E,You arrive at work and greet your coworkers
461A36_42077E,"You won't believe the news, {{GameData.player_name}}. They're renovating our department, and they're thinking about throwing a little farewell party for Henry"
461A36_3E1E95,Henry is one of the company's longest-serving employees
461A36_D02393,"You continue talking with Luiza, and the conversation becomes a nice enough distraction to make you laugh a little"
461A36_0C3CBB,"During your break, you eat your lasagna packed lunch and enjoy the moment. You talk with some of your other coworkers, and time passes quickly"
461A36_F3784F,You return to work and finish your reports for the day with a lighter heart
461A36_3DC3E0,"At the end of your shift, you return home and take a deep breath"
461A36_97EF17,Ello is there
461A36_47576F,"You aren't particularly excited about interacting with Ello, but you need to"
461A36_C0CBFE,Any news?
461A36_A2F7B1,"I think so. I'm making progress regarding people's dreams. It's not a milestone, but it's a beginning"
461A36_8F903B,"I can't find your cat, but he seems to be making friends in the forest"
461A36_E74FF1,"In fact, I found some individuals who were already in a serious stage of disturbance. Helping animals in that condition is no longer so simple"
461A36_F79CD6,"But there's still hope for them, right?"
461A36_A1AB5B,"In short, yes, but it's a slow process, and there's no guarantee the individual will return to a healthy state"
461A36_DBAAB7,"If their condition worsens, they may develop lasting effects"
461A36_AF3486,My goodness... That's concerning
461A36_411636,Ask about the dream
461A36_3B727E,Make dinner and study
461A36_522527,What was that monster? Where did it come from?
461A36_055C44,"It was Cerberus, a wolf focused on draining the energy of dreamers and leaving them exhausted. That makes it stronger"
461A36_41836E,And why did it choose me as its target?
461A36_D8F5E5,Well... To test you and me
461A36_72516E,"Someone who doesn't dream is the beginning of what they need to accomplish. Since you know I exist, they focus on you so I spend more time protecting you instead of other people, allowing them to eventually take control of your mind if I don't protect you well enough"
461A36_42AC95,"You begin making dinner with whatever you have in the refrigerator so you don't have to think too much about everything... It's not particularly effective, but it seems like the best option for you"
461A36_D0883B,"After finishing dinner and preparing your lunch for the next day, you plan to study"
461A36_FA2CEC,It won't be long before a test for that unbearable subject
461A36_528ADF,You sit at your desk in the bedroom and begin researching and taking practice tests... You get tired quickly
461A36_BAF94D,But you study a little longer and eventually fall asleep
461A36_E9343D,...You are talking to your sister in a childhood memory
461A36_9995D7,"Little one, have you figured out what your biggest dream is?"
461A36_60B5B5,My biggest dream?
461A36_781831,"I think I have, Sister."
461A36_2071FB,I don't really remember what my childhood dreams were...
461A36_5355DA,"Don't worry, little one. One day, you'll figure it out."
461A36_880364,Nothing else comes to mind?
461A36_112C1E,I don't know... I don't think I really believe in that stuff.
461A36_867776,"...One day, you'll understand how important dreams really are."
461A36_45AD9C,"I want to create a world where animals and people can live vibrant, exciting lives... So, maybe an artist?"
461A36_BC00C2,"That's incredible. Never give up on your dream, no matter what happens."
461A36_FC7D80,"Sister, how do I know if my dream is a good one?"
461A36_D5F3FD,"When it brings you peace and fulfillment, you'll know you're on the right path."
461A36_E5695A,What if I want to be so many things? Can I become anything I want?
461A36_417875,"You might have a passion for many things, but try to focus on one at a time—otherwise, you might end up lost."
461A36_52F864,Life is about making choices on what truly matters. Sometimes we have to hold onto certain things and let others go.
461A36_7685F3,"So, Sister... what dream did you choose?"
461A36_2CFF94,"To build a happy family. Growing up wasn't easy for us, so nothing mattered more to me than creating a place we could truly call home."
461A36_C1B1AC,"And now that dream is coming true—I have all of you, my family, right here with me."
461A36_6D78D6,And what do you do once your dream comes true?
461A36_130BC1,Now? Now I get to help the rest of my family achieve theirs.
461A36_EE90A0,Hmm... What a strange dream... It wasn't horrifying
461A36_AF957F,I wonder where Ello is
461A36_18BC9F,It's awfully quiet here
461A36_FB62E0,"You call out for Ello, but receive no answer"
461A36_F6B69B,But then Felix appears through the little passageway in the door and meows
461A36_2049B0,Felix! How did you get here?
461A36_3D36AB,You quickly get up and go to hug your cat
461A36_574B0F,"But when you touch him, he evaporates"
461A36_33CB0A,"You freeze in shock, standing still as you look around in silence"
461A36_0A6494,"You get up to open the door and search for Ello, but the door evaporates too"
461A36_74D3C7,Nothing is real
461A36_552C33,Then the phone in your pocket rings
461A36_A5900F,You answer suspiciously
461A36_27585C,Hello?
461A36_A80EF6,Who is this?
461A36_6814AA,You can call me Chimera
461A36_595042,What do you want? What's happening?
461A36_146F40,Nothing much... You really looked happy to see Felix. What a shame
461A36_81C219,I wonder where he could be? I don't have good news...
461A36_95DBF4,"You hear someone calling out. It's Ello's voice, but you can't see him anywhere"
461A36_8210D9,"Wake up! Don't believe anything. This is a nightmare, it's not real"
461A36_0DD590,"I can't wake you up, but this is your dream, so change it however you want"
461A36_7E7EFB,"You become thoughtful as Chimera continues making small talk on the phone, telling you that you are going to find the worst"
461A36_902FD3,Chimera can't hurt you. I'm protecting you
461A36_B63A21,You smash the phone and head into the hallway
461A36_85A560,You find an endless number of doors
461A36_746C61,You can still hear Chimera
461A36_4EEA8B,None of them is the exit
461A36_6800E9,"You enter the door on the left. You can't see anything because it's dark, so you close the door and find yourself in the same hallway again"
461A36_911BD0,"You enter through the door on the right, and it is dark as well. You close the door and find your family, all of them with red eyes. Some have hateful expressions, while others look sad"
461A36_911ED2,"Where were you? We were waiting for you, and you never came"
461A36_AAE657,Get us out of here... Are you going to abandon us? Leave us here to suffer?
461A36_1104E8,"You don't approach them, and you become increasingly desperate"
461A36_4A6790,You begin to think about what all of this means... Then you return to the previous hallway and close the door
461A36_7CC764,The doors are useless. They're just a distraction
461A36_616168,"You continue onward, sometimes running and sometimes walking, toward the end of the hallway"
461A36_7DC11D,But you still can't find an exit
461A36_D65757,So you close your eyes and take a deep breath. You see many colors in the darkness
461A36_B135D4,"Nothing special happens, so you think of an exit door... An exit door"
461A36_FBE98E,You see it and move toward it...
461A36_550B06,"You open it, and the darkness is dispelled by light..."
461A36_2B3BAB,Thank you for playing
461A36_0FB803,Demo end
461A36_32AE92,The story continues in the full game
461A36_E4AEC3,click the logout button
461A36_D02DA4,"Well, now it's time..."
461A36_9AE438,Look for Felix
461A36_8174B8,You get ready and even grab the cat carrier to prevent him from running away again
461A36_CF6F55,"You leave the house, cross the street, and reach the edge of the forest"
461A36_6958B2,You begin exploring again and hear birds singing
461A36_404503,You mark the trails you plan to follow on your phone's map
461A36_E7C143,so you can search for the cat...
461A36_AE3A9E,"You begin your journey and see many wild animals in the forest. In general, they don't pose any threat to you"
461A36_411BA9,"At one point, you decide to sit down and rest. You pull out a small bottle of water to hydrate yourself and a snack"
461A36_DF10C1,"When you are almost finished with your snack, you hear a noise"
461A36_1F12EB,"It's a deer, nothing unusual... but there is something strange about it"
461A36_37408E,"You continue looking at it, trying to identify what is wrong, and then you notice"
461A36_0FB71D,it has red eyes
461A36_6AE928,"It stares at you, makes a noise, and charges toward you"
461A36_0CD246,"Luckily, it misses, and you manage to move away a little... Think of a way to escape"
461A36_83982D,Quickly climb a tree
461A36_83481A,Run
461A36_6C2CB1,"You retrace part of the path you already took, trying to lose the deer. After a few minutes, you manage to escape it"
461A36_8B4A73,You wonder whether you should search along another route or if it's already time to return home and get ready for work
461A36_C6AFAF,"You return home, leave your belongings there, and prepare to go to work"
461A36_92EEF4,You climb a not-too-tall tree while narrowly escaping the deer. It tries to reach you but can't
461A36_F5882A,"Then it simply stares at you, and you begin to wonder how long this will last..."
461A36_924EE3,"The longer you stay, the more time you lose, so you begin wondering how Ello came to this forest in the first place, and why a forest instead of somewhere he is worshiped, like a church"
461A36_6C7DCC,"After a few minutes, you try throwing the rest of your snack at the deer to see if it will at least become distracted, and it works"
461A36_EED5C4,"The deer approaches to eat the snack, and at that moment you try climbing down behind the tree. When your feet touch the ground, you run to grab the cat carrier that was lying on the ground and run"
461A36_CBEF16,You retrace your path
461A36_FF205B,"And decide to return home immediately, before another animal appears and attacks you"
461A36_EFF432,"You return home, leave your things there, and prepare to go to work"
